ticker,name,sector,weight_pct,method
KE,KIMBALL ELECTRONICS INC,Information Technology,0.01816,fcff
CTKB,CYTEK BIOSCIENCES,Health Care,0.01814,fcff
CTMX,CYTOMX THERAPEUTICS,Health Care,0.01811,fcff
ODD,ODDITY TECH CLASS A,Consumer Staples,0.01809,fcff
ETD,ETHAN ALLEN INTERIORS,Consumer Discretionary,0.01808,fcff
CTOS,CUSTOM TRUCK ONE SOURCE,Industrials,0.01806,fcff
RWT,REDWOOD TRUST REIT,Financials,0.01804,book
VTS,VITESSE ENERGY INC,Energy,0.01794,fcff
OOMA,OOMA,Information Technology,0.01793,fcff
EBF,ENNIS INC,Industrials,0.01791,fcff
CARS,CARS.COM INC,Communication,0.01781,fcff
TRTX,TPG RE FINANCE TRUST INC,Financials,0.01779,book
NTGR,NETGEAR,Information Technology,0.01779,fcff
AMSF,AMERISAFE INC,Financials,0.01777,book
LXRX,LEXICON PHARMACEUTICALS,Health Care,0.01773,fcff
NXRT,NEXPOINT RESIDENTIAL TRUST INC,Real Estate,0.01762,none
CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,0.01761,fcff
BCAL,CALIFORNIA BANCORP,Financials,0.01755,book
RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,0.01752,fcff
